State/UTs,Confirmed,Active,Recovered,Deceased,TOTAL POPULATION,
Andaman and Nicobar,194,52,142,0,380581,
Andhra Pradesh,40646,19814,20298,534,84580777,
Arunachal Pradesh,609,431,175,3,1383727,
Assam,20646,6490,14105,51,31205576,
Bihar,23589,8767,14621,201,104099452,
Chandigarh,660,169,480,11,1055450,
Chhattisgarh,4964,1429,3512,23,25545198,
Dadra and Nagar Haveli and Daman,585,182,401,2,343709,
Daman and Diu,0,0,0,0,243247,
Delhi,120107,17235,99301,3571,16787941,
Goa,3304,1337,1946,21,1458545,
Gujarat,46430,11351,32973,2106,60439692,
Haryana,24797,5752,18718,327,25351462,
Himachal Pradesh,1417,382,1024,11,6864602,
Jammu and Kashmir,12757,5968,6558,231,9944283,
Jharkhand,4921,2305,2570,46,32988134,
Karnataka,55115,33211,20757,1147,61095297,
Kerala,11066,6033,4995,38,33406061,
Ladakh,1151,177,973,1,290492,
Lakshadweep,0,0,0,0,64473,
Madhya Pradesh,21081,5870,14514,697,72626809,
Maharashtra,292589,120780,160357,11452,112374333,
Manipur,1800,637,1163,0,2855794,
Meghalaya,403,335,66,2,2966889,
Mizoram,282,122,160,0,1097206,
Nagaland,956,551,405,0,1978502,
Odisha,16110,4697,11330,83,41974218,
Puducherry,1832,793,1014,25,1247953,
Punjab,9442,2830,6373,239,27743338,
Rajasthan,27789,6617,20626,546,68548437,
Sikkim,266,176,90,0,610577,
Tamil Nadu,160907,47785,110807,2315,72147030,
Telengana,42496,13388,28705,403,35193978,
Tripura,2366,679,1684,3,3673917,
Uttar Pradesh,45163,16445,27634,1084,199812341,
Uttarakhand,4102,1030,3021,51,10086292,
West Bengal,38011,14709,22253,1049,91276115,